candidate_index,candidate_flat,image_path,original_brisque,enhanced_brisque
1,"{""clahe.clipLimit"": 0.5, ""clahe.tileGridSize"": [8, 8], ""unsharp.weight_main"": 1.2, ""unsharp.weight_blur"": -0.6, ""detail_weight"": 0.2, ""inpaint.dilation_kernel"": 3}",data\test\images\DSC_0281_JPG.rf.6a56017fecafef036b18f774525c6197.jpg,38.18130548395115,57.57139311741841
1,"{""clahe.clipLimit"": 0.5, ""clahe.tileGridSize"": [8, 8], ""unsharp.weight_main"": 1.2, ""unsharp.weight_blur"": -0.6, ""detail_weight"": 0.2, ""inpaint.dilation_kernel"": 3}",data\train\images\DSC_0043_JPG.rf.6f355d5f08ba937bb5925d2d118830c9.jpg,72.17507885685094,56.6790016801576
1,"{""clahe.clipLimit"": 0.5, ""clahe.tileGridSize"": [8, 8], ""unsharp.weight_main"": 1.2, ""unsharp.weight_blur"": -0.6, ""detail_weight"": 0.2, ""inpaint.dilation_kernel"": 3}",data\train\images\DSC_0059_JPG.rf.9b9367d68aca06f0950991c3d9bb8010.jpg,25.190918909997635,47.86222784235471
1,"{""clahe.clipLimit"": 0.5, ""clahe.tileGridSize"": [8, 8], ""unsharp.weight_main"": 1.2, ""unsharp.weight_blur"": -0.6, ""detail_weight"": 0.2, ""inpaint.dilation_kernel"": 3}",data\train\images\DSC_0223_JPG.rf.375636013ae935ea51190e93998658b4.jpg,40.89389022677889,55.04359616505528
1,"{""clahe.clipLimit"": 0.5, ""clahe.tileGridSize"": [8, 8], ""unsharp.weight_main"": 1.2, ""unsharp.weight_blur"": -0.6, ""detail_weight"": 0.2, ""inpaint.dilation_kernel"": 3}",data\train\images\DSC_0236_JPG.rf.44e73ee8581f29dabb2c2b5852888a0f.jpg,40.361059276558166,55.03296037417769
1,"{""clahe.clipLimit"": 0.5, ""clahe.tileGridSize"": [8, 8], ""unsharp.weight_main"": 1.2, ""unsharp.weight_blur"": -0.6, ""detail_weight"": 0.2, ""inpaint.dilation_kernel"": 3}",data\train\images\DSC_0149_JPG.rf.89c78ab0d5eaf4b5babaf869d5aac7b4.jpg,43.240647563443616,54.04557444060876
1,"{""clahe.clipLimit"": 0.5, ""clahe.tileGridSize"": [8, 8], ""unsharp.weight_main"": 1.2, ""unsharp.weight_blur"": -0.6, ""detail_weight"": 0.2, ""inpaint.dilation_kernel"": 3}",data\train\images\DSC_0169_JPG.rf.a0cb151e5e043e264ca7a80d8ab90c29.jpg,53.27840239741565,51.79483144192247
1,"{""clahe.clipLimit"": 0.5, ""clahe.tileGridSize"": [8, 8], ""unsharp.weight_main"": 1.2, ""unsharp.weight_blur"": -0.6, ""detail_weight"": 0.2, ""inpaint.dilation_kernel"": 3}",data\train\images\DSC_0235_JPG.rf.0e91b0959b7401287795454abd898e2b.jpg,40.559548354775615,56.16796192792637
1,"{""clahe.clipLimit"": 0.5, ""clahe.tileGridSize"": [8, 8], ""unsharp.weight_main"": 1.2, ""unsharp.weight_blur"": -0.6, ""detail_weight"": 0.2, ""inpaint.dilation_kernel"": 3}",data\train\images\DSC_0288_JPG.rf.ef503b9935fd9f4fb7a457564fe1e779.jpg,40.281296067086004,47.235721588215455
1,"{""clahe.clipLimit"": 0.5, ""clahe.tileGridSize"": [8, 8], ""unsharp.weight_main"": 1.2, ""unsharp.weight_blur"": -0.6, ""detail_weight"": 0.2, ""inpaint.dilation_kernel"": 3}",data\train\images\DSC_0291_JPG.rf.abe6fb2abedd1cf64a0d49da05c4499a.jpg,37.21175442358819,57.26608560250972
1,"{""clahe.clipLimit"": 0.5, ""clahe.tileGridSize"": [8, 8], ""unsharp.weight_main"": 1.2, ""unsharp.weight_blur"": -0.6, ""detail_weight"": 0.2, ""inpaint.dilation_kernel"": 3}",data\train\images\DSC_0199_JPG.rf.a1a35e58dc1ca71ced33159b8f3c70f1.jpg,45.93608869141846,58.77393751133738
1,"{""clahe.clipLimit"": 0.5, ""clahe.tileGridSize"": [8, 8], ""unsharp.weight_main"": 1.2, ""unsharp.weight_blur"": -0.6, ""detail_weight"": 0.2, ""inpaint.dilation_kernel"": 3}",data\train\images\DSC_0142_JPG.rf.8451ab95a7e0ad48de3c9d42abd06cba.jpg,49.701163704990876,58.10124001707638
2,"{""clahe.clipLimit"": 0.5, ""clahe.tileGridSize"": [16, 16], ""unsharp.weight_main"": 1.0, ""unsharp.weight_blur"": -0.2, ""detail_weight"": 0.2, ""inpaint.dilation_kernel"": 3}",data\test\images\DSC_0281_JPG.rf.6a56017fecafef036b18f774525c6197.jpg,38.18130548395604,57.33748467814368
2,"{""clahe.clipLimit"": 0.5, ""clahe.tileGridSize"": [16, 16], ""unsharp.weight_main"": 1.0, ""unsharp.weight_blur"": -0.2, ""detail_weight"": 0.2, ""inpaint.dilation_kernel"": 3}",data\train\images\DSC_0043_JPG.rf.6f355d5f08ba937bb5925d2d118830c9.jpg,72.17507885684947,62.22879521972865
2,"{""clahe.clipLimit"": 0.5, ""clahe.tileGridSize"": [16, 16], ""unsharp.weight_main"": 1.0, ""unsharp.weight_blur"": -0.2, ""detail_weight"": 0.2, ""inpaint.dilation_kernel"": 3}",data\train\images\DSC_0059_JPG.rf.9b9367d68aca06f0950991c3d9bb8010.jpg,25.190918909996725,48.12809357449689
2,"{""clahe.clipLimit"": 0.5, ""clahe.tileGridSize"": [16, 16], ""unsharp.weight_main"": 1.0, ""unsharp.weight_blur"": -0.2, ""detail_weight"": 0.2, ""inpaint.dilation_kernel"": 3}",data\train\images\DSC_0223_JPG.rf.375636013ae935ea51190e93998658b4.jpg,40.8938902267989,54.6800277879008
2,"{""clahe.clipLimit"": 0.5, ""clahe.tileGridSize"": [16, 16], ""unsharp.weight_main"": 1.0, ""unsharp.weight_blur"": -0.2, ""detail_weight"": 0.2, ""inpaint.dilation_kernel"": 3}",data\train\images\DSC_0236_JPG.rf.44e73ee8581f29dabb2c2b5852888a0f.jpg,40.36105927655373,55.168879042356565
2,"{""clahe.clipLimit"": 0.5, ""clahe.tileGridSize"": [16, 16], ""unsharp.weight_main"": 1.0, ""unsharp.weight_blur"": -0.2, ""detail_weight"": 0.2, ""inpaint.dilation_kernel"": 3}",data\train\images\DSC_0149_JPG.rf.89c78ab0d5eaf4b5babaf869d5aac7b4.jpg,43.2406475634468,57.334149345289205
2,"{""clahe.clipLimit"": 0.5, ""clahe.tileGridSize"": [16, 16], ""unsharp.weight_main"": 1.0, ""unsharp.weight_blur"": -0.2, ""detail_weight"": 0.2, ""inpaint.dilation_kernel"": 3}",data\train\images\DSC_0169_JPG.rf.a0cb151e5e043e264ca7a80d8ab90c29.jpg,53.27840239742247,55.794908873190906
2,"{""clahe.clipLimit"": 0.5, ""clahe.tileGridSize"": [16, 16], ""unsharp.weight_main"": 1.0, ""unsharp.weight_blur"": -0.2, ""detail_weight"": 0.2, ""inpaint.dilation_kernel"": 3}",data\train\images\DSC_0235_JPG.rf.0e91b0959b7401287795454abd898e2b.jpg,40.55954835478107,56.45747156778245
2,"{""clahe.clipLimit"": 0.5, ""clahe.tileGridSize"": [16, 16], ""unsharp.weight_main"": 1.0, ""unsharp.weight_blur"": -0.2, ""detail_weight"": 0.2, ""inpaint.dilation_kernel"": 3}",data\train\images\DSC_0288_JPG.rf.ef503b9935fd9f4fb7a457564fe1e779.jpg,40.28129606707691,50.48389401876986
2,"{""clahe.clipLimit"": 0.5, ""clahe.tileGridSize"": [16, 16], ""unsharp.weight_main"": 1.0, ""unsharp.weight_blur"": -0.2, ""detail_weight"": 0.2, ""inpaint.dilation_kernel"": 3}",data\train\images\DSC_0291_JPG.rf.abe6fb2abedd1cf64a0d49da05c4499a.jpg,37.21175442357591,57.46241582144896
2,"{""clahe.clipLimit"": 0.5, ""clahe.tileGridSize"": [16, 16], ""unsharp.weight_main"": 1.0, ""unsharp.weight_blur"": -0.2, ""detail_weight"": 0.2, ""inpaint.dilation_kernel"": 3}",data\train\images\DSC_0199_JPG.rf.a1a35e58dc1ca71ced33159b8f3c70f1.jpg,45.93608869142619,58.49387686767554
2,"{""clahe.clipLimit"": 0.5, ""clahe.tileGridSize"": [16, 16], ""unsharp.weight_main"": 1.0, ""unsharp.weight_blur"": -0.2, ""detail_weight"": 0.2, ""inpaint.dilation_kernel"": 3}",data\train\images\DSC_0142_JPG.rf.8451ab95a7e0ad48de3c9d42abd06cba.jpg,49.70116370499338,60.06471761059069
3,"{""clahe.clipLimit"": 3.0, ""clahe.tileGridSize"": [8, 8], ""unsharp.weight_main"": 1.5, ""unsharp.weight_blur"": -0.6, ""detail_weight"": 0.2, ""inpaint.dilation_kernel"": 7}",data\test\images\DSC_0281_JPG.rf.6a56017fecafef036b18f774525c6197.jpg,38.18130548394558,53.096707726744825
3,"{""clahe.clipLimit"": 3.0, ""clahe.tileGridSize"": [8, 8], ""unsharp.weight_main"": 1.5, ""unsharp.weight_blur"": -0.6, ""detail_weight"": 0.2, ""inpaint.dilation_kernel"": 7}",data\train\images\DSC_0043_JPG.rf.6f355d5f08ba937bb5925d2d118830c9.jpg,72.17507885685367,60.66654184900423
3,"{""clahe.clipLimit"": 3.0, ""clahe.tileGridSize"": [8, 8], ""unsharp.weight_main"": 1.5, ""unsharp.weight_blur"": -0.6, ""detail_weight"": 0.2, ""inpaint.dilation_kernel"": 7}",data\train\images\DSC_0059_JPG.rf.9b9367d68aca06f0950991c3d9bb8010.jpg,25.190918909993712,49.91055317340371
3,"{""clahe.clipLimit"": 3.0, ""clahe.tileGridSize"": [8, 8], ""unsharp.weight_main"": 1.5, ""unsharp.weight_blur"": -0.6, ""detail_weight"": 0.2, ""inpaint.dilation_kernel"": 7}",data\train\images\DSC_0223_JPG.rf.375636013ae935ea51190e93998658b4.jpg,40.893890226793445,30.933103778560252
3,"{""clahe.clipLimit"": 3.0, ""clahe.tileGridSize"": [8, 8], ""unsharp.weight_main"": 1.5, ""unsharp.weight_blur"": -0.6, ""detail_weight"": 0.2, ""inpaint.dilation_kernel"": 7}",data\train\images\DSC_0236_JPG.rf.44e73ee8581f29dabb2c2b5852888a0f.jpg,40.36105927656044,54.94039863503869
